
Oct 10 18:39:07 +0000 OX-56195b4b6dd01 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b6de87 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b6eed1 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b74606 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b7520c [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b7a774 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b7dc05 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b7e8b6 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b81298 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b80071 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b80333 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b81298 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b8514e [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b85410 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b84e38 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b8514e [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b892db [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b8b098 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b8f117 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b8d946 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b8e845 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b8f117 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b9460c [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b960db [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b95790 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b960db [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b9991d [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b9fec4 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b9fec4 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4ba5310 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4ba50fc [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4ba855c [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bad579 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bad8b0 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bad579 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bad813 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4bb0285 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bb24c2 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4bb28ec [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bb877a [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bb9eea [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bba58a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bbfd11 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bc027d [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4bc0015 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bc455f [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bc455f [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bc5250 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bc7f38 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bc7dbd [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4bcd504 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4bce07e [  warning]  in_array() expects parameter 2 to be array, null given
